UID,SAMPLEID,STATION,MODEL,O,E,OE,MMI,AIM_rtg,MODELTEST,COUNT,INVASIVE_MACRO
6C8B2C19-5ADC-4BCE-B3A2-11C556BE65E2,168070,KS-LS-17249,WY2018_HIGH VALLEYS,7,12.43461966,0.56294444,,Poor,pass,300,ABSENT
08CE487F-E685-4D0B-A657-949376F9F218,168071,KS-SS-10513,WY2018_WYOMING BASIN,1,9.174501625,0.108997746,,Poor,pass,300,ABSENT
0920F052-F5D1-429F-BA0D-7BE7B24EAA9C,168072,KS-SS-11025,WY2018_WYOMING BASIN,2,7.825426427,0.255577127,,Poor,pass,38,ABSENT
6A9C9ECF-37CC-4925-B90E-49ED339D736B,168073,KS-SS-12113,WY2018_HIGH VALLEYS,2,10.21108259,0.195865618,,Poor,pass,300,ABSENT
629C6577-C4C6-4A3C-AE2A-A7113A73F4C7,168074,HD-TR-1452,WY2018_SEDIMENTARY MNTS,9,8.857443079,1.016094591,,Good,pass,298,ABSENT
E8FBE1F8-471C-4E3D-B14B-5E5E37190611,168075,PN-LS-10457,WY2018_SEDIMENTARY MNTS,12,11.69236705,1.026310579,,Good,pass,300,ABSENT
7803F5B7-A5D4-403C-ACDD-601B243085BD,168076,PN-RV-16025,WY2018_HIGH VALLEYS,6,11.57624806,0.518302646,,Poor,pass,300,ABSENT
872C1F83-B820-4523-BACD-A4790E5420C9,168077,PN-SS-10201,WY2018_SEDIMENTARY MNTS,3,8.357707794,0.358950094,,Poor,pass,282,ABSENT
50AF64B7-7B3B-4D93-A264-FCE5DCBAB79F,168079,PN-SS-10713,WY2018_SEDIMENTARY MNTS,8,9.04666126,0.884304139,,Good,pass,294,ABSENT
6805F3A6-5600-45F0-B4F7-3B5F7BFCF44A,168080,PN-SS-11177,WY2018_GRANITIC MNTS,10,13.32546254,0.750442994,,Fair,pass,296,ABSENT
E08B43EE-B423-464B-A9C0-BA0A4551CE01,168081,PS-LS-11929,WY2018_HIGH VALLEYS,8,12.60999562,0.63441735,,Poor,pass,300,ABSENT
EA38F459-9916-4689-9781-10D62503BB01,168082,PS-LS-12953,WY2018_HIGH VALLEYS,6,12.18315393,0.492483312,,Poor,pass,300,PRESENT
CB780C12-FF1C-412A-BA7B-F7B6910B42CD,168083,PS-SS-10025,WY2018_HIGH VALLEYS,3,10.25286913,0.292601023,,Poor,pass,300,ABSENT
DA30964E-00FB-407B-AE31-8168475CFF7E,168084,PS-SS-11049,WY2018_HIGH VALLEYS,2,9.983802162,0.200324482,,Poor,pass,300,ABSENT
3808FF82-BE88-4B9E-831E-782D68E2B5C3,168085,RN-LS-10153,WY2018_GRANITIC MNTS,12,14.54694863,0.824915266,,Fair,pass,297,ABSENT
48E75303-7630-4BAB-A235-58A2C994667A,168086,RN-LS-10361,WY2018_WYOMING BASIN,5,9.877760696,0.506187602,,Poor,pass,300,ABSENT
6BF27C43-E8DC-4CDB-91C5-8A723F21BB85,168087,RN-LS-10873,WY2018_WYOMING BASIN,2,8.270099406,0.241835062,,Poor,pass,300,ABSENT
8E156E5F-0B68-41ED-8A31-0CDB2EFD8917,168088,RN-SS-10617,WY2018_WYOMING BASIN,6,9.810578283,0.611584743,,Poor,pass,300,ABSENT
F47231DE-ADAF-46BA-997D-425CF7F74DD7,168089,RN-SS-11241,WY2018_WYOMING BASIN,5,10.07046668,0.49650132,,Poor,pass,300,ABSENT
46785994-7E43-418B-823F-23FFCDE31BD8,168091,RN-SS-11385,WY2018_WYOMING BASIN,7,9.803782277,0.714010144,,Fair,pass,300,ABSENT
5EC0150B-457C-4AFC-801E-015E780CB286,168092,RS-LS-10297,WY2018_WYOMING BASIN,4,6.193872606,0.645799527,,Fair,pass,300,ABSENT
0DAEFA78-15B5-43E6-9933-43801C238DFA,168093,RS-LS-10681,WY2018_WYOMING BASIN,1,11.51455591,0.086846597,,Poor,pass,300,ABSENT
FE115CC2-7D59-466B-9A65-40D72C79C8EE,168094,RS-RV-10921,WY2018_WYOMING BASIN,5,11.64617245,0.429325602,,Poor,pass,300,ABSENT
A1E92A3B-0C26-4F0D-A958-91EAB79EB939,168095,RS-SS-10105,WY2018_WYOMING BASIN,6,7.939130963,0.755750224,,Fair,pass,77,ABSENT
209FE794-4914-4042-BEA2-B73EF8CF7212,168096,RS-SS-10169,WY2018_WYOMING BASIN,1,6.582918547,0.151908305,,Poor,pass,182,ABSENT
2B115A14-728B-4975-8917-AB4E30CD666A,168097,XE-LS-5008,WY2018_WYOMING BASIN,3,10.61540797,0.282608074,,Poor,pass,300,ABSENT
30ECE451-30F5-4D03-9127-731F6BC598E7,168099,XE-SS-5104,WY2018_WYOMING BASIN,7,9.839607633,0.711410481,,Fair,pass,300,ABSENT
62214D17-31A6-4066-A80D-0A91A590F4F1,168100,XE-SS-5129,WY2018_WYOMING BASIN,5,11.09501268,0.450652932,,Poor,pass,300,ABSENT
353B9A3A-A6C5-4064-AB5A-E050014C0F78,168101,HD-TR-1213,WY2018_WYOMING BASIN,9,10.91566567,0.824503083,,Good,pass,300,ABSENT
CB5155BA-5747-4C7E-BCF9-CEB9FE80E539,168102,HD-TR-1286,WY2018_WYOMING BASIN,8,11.34542635,0.705129957,,Fair,pass,297,ABSENT
1590BE8E-EBFC-471D-85A2-E16FD04E79DE,168103,HD-TR-1355,WY2018_WYOMING BASIN,9,11.2944103,0.796854352,,Fair,pass,300,ABSENT
A5419D52-5040-4A55-BB11-F4E5D527CA8E,168104,KN-LS-10769,WY2018_WYOMING BASIN,3,14.02539598,0.213897704,,Poor,pass,300,ABSENT
4FBF5218-B67B-44EC-A277-C87368E42835,168105,KN-RV-10217,WY2018_WYOMING BASIN,2,12.68776614,0.157632161,,Poor,pass,59,ABSENT
17DF68C6-EE06-4994-81FE-26849AC69ABF,168106,KN-SS-10764,WY2018_WYOMING BASIN,2,9.063562331,0.220663788,,Poor,pass,300,ABSENT
5BD80356-0EFE-4294-90C5-28A47CBC1EDF,168107,KN-SS-10985,WY2018_WYOMING BASIN,4,9.006392066,0.444129011,,Poor,pass,300,ABSENT
4EA3A421-1A91-4AAB-B075-95E3CEB498CC,168108,KS-LS-10257,WY2018_WYOMING BASIN,4,9.229447009,0.433395413,,Poor,pass,300,ABSENT
