scientific_name,model_abbreviation
Kogotus,NV
Krenopelopia,NV
Krenosmittia,NV
Labrundinia,NV
Lara,NV
Larsia,NV
Lebertia,NV
Lepidostoma,NV
Leptophlebia,NV
Leucotrichia,NV
Leuctridae,NV
Libellulidae,NV
Limnesia,NV
Limnophila,NV
Limnophyes,NV
Liodessus,NV
Lopescladius,NV
Lymnaeidae,NV
Maccaffertium,NV
Malenka,NV
Maruina,NV
Meringodixa,NV
Metriocnemus,NV
Micrasema,NV
Microcylloepus,NV
Micropsectra,NV
Microtendipes,NV
Mideopsis,NV
Monodiamesa,NV
Muscidae,NV
Nanocladius,NV
Narpus,NV
Nectopsyche,NV
Nemata,NV
Neophylax,NV
Neoplasta,NV
Neumania,NV
Nilotanypus,NV
Nilothauma,NV
Nixe,NV
Nostococladius,NV
Ochrotrichia,NV
Ochthebius,NV
Odontomesa,NV
Oecetis,NV
Oligochaeta,NV
Onocosmoecus,NV
Optioservus,NV
Ordobrevia,NV
Oreodytes,NV
Oreogeton,NV
Oribatida,NV
Orthocladius,NV
Ostracoda,NV
Other_Coenagrionidae,NV
Oxyethira,NV
Pacifastacus,NV
Pagastia,NV
Parachaetocladius,NV
Paracladopelma,NV
Paracloeodes,NV
Paracricotopus,NV
Parakiefferiella,NV
Paralauterborniella,NV
Paraleptophlebia,NV
Paramerina,NV
Parametriocnemus,NV
Paraphaenocladius,NV
Parapsyche,NV
Paratanytarsus,NV
Paratendipes,NV
Parorthocladius,NV
Pedomoecus,NV
Peltodytes,NV
Pentaneura,NV
Pericoma_Telmatoscopus,NV
Perlinodes_aurea,NV
Petrophila,NV
Phaenopsectra,NV
Physidae,NV
Pisidiidae,NV
Planaria,NV
Planorbidae,NV
Polycelis,NV
Polypedilum,NV
Potthastia,NV
Probezzia,NV
Procladius,NV
Procloeon,NV
Prodiamesa,NV
Prosimulium,NV
Protoptila,NV
Protzia,NV
Psephenus,NV
Pseudodiamesa,NV
Pseudosmittia,NV
Psychoglypha,NV
Pteronarcella,NV
Pteronarcys,NV
Ptychoptera,NV
Radotanypus,NV
Rheocricotopus,NV
Rheotanytarsus,NV
Rhithrogena,NV
Rhyacophila_alberta_group,NV
Rhyacophila_angelita_group,NV
Rhyacophila_betteni_group,NV
Rhyacophila_brunnea_vemna_group,NV
Rhyacophila_hyalinata_group,NV
Rhyacophila_sibirica_group,NV
Rhyacophila_vagrita_group,NV
Rhyacophila_verrula_group,NV
Rhyacophila_vofixa_group,NV
Serratella,NV
Sialis,NV
Simulium,NV
Skwala,NV
Soyedina,NV
Sperchon,NV
Sperchonopsis,NV
Stempellina,NV
Stempellinella,NV
Stenonema,NV
Stictochironomus,NV
Suwallia,NV
Sweltsa,NV
Synorthocladius,NV
Tabanidae,NV
Tanytarsus,NV
Testudacarus,NV
